City	State	Pop_est	lat	long
Irving	Texas	236607	32.8577	-96.97
Carrollton	Texas	133168	32.9884	-96.8998
Fargo	North Dakota	118523	46.8652	-96.829
Frisco	Texas	154407	33.151	-96.8193
Dallas	Texas	1300092	32.7757	-96.7967
Plano	Texas	283558	33.0508	-96.7479
Sioux Falls	South Dakota	171544	43.5383	-96.732
Richardson	Texas	110815	32.9723	-96.7081
Lincoln	Nebraska	277348	40.809	-96.6804
McKinney	Texas	162898	33.2012	-96.668
Garland	Texas	236897	32.9098	-96.6304
Mesquite	Texas	144788	32.7639	-96.5924
College Station	Texas	107889	30.6013	-96.3144
Omaha	Nebraska	443885	41.2647	-96.0419
Tulsa	Oklahoma	403505	36.1279	-95.9023
Broken Arrow	Oklahoma	106563	36.0365	-95.781
Topeka	Kansas	127265	39.0362	-95.6948
Houston	Texas	2296224	29.7805	-95.3863
Tyler	Texas	103700	32.35	-95.3
Pearland	Texas	108821	29.5544	-95.2958
Pasadena	Texas	153784	29.6583	-95.1505
Olathe	Kansas	134305	38.8843	-94.8188
Kansas City	Kansas	151306	39.1225	-94.7418
Overland Park	Kansas	186515	38.889	-94.6906
Kansas City	Missouri	475378	39.1252	-94.5511
Independence	Missouri	117255	39.0853	-94.3513
Beaumont	Texas	118129	30.0843	-94.1458
Shreveport	Louisiana	197204	32.467	-93.7927
Des Moines	Iowa	210330	41.5739	-93.6167
Springfield	Missouri	165378	37.1942	-93.2913
Minneapolis	Minnesota	410939	44.9633	-93.2683
Saint Paul	Minnesota	300851	44.9489	-93.1039
Rochester	Minnesota	112225	44.0154	-92.4772
Little Rock	Arkansas	197992	34.7254	-92.3586
Columbia	Missouri	119108	38.9479	-92.3261
Lafayette	Louisiana	127657	30.2116	-92.0314
Cedar Rapids	Iowa	130405	41.967	-91.6778
Baton Rouge	Louisiana	228590	30.4485	-91.1259
Davenport	Iowa	102582	41.5541	-90.604
St. Louis	Missouri	315685	38.6357	-90.2446
Jackson	Mississippi	170674	32.3158	-90.2128
Memphis	Tennessee	655770	35.1035	-89.9785
New Orleans	Louisiana	389617	30.0686	-89.939
Springfield	Illinois	116565	39.7639	-89.6708
Peoria	Illinois	115070	40.7523	-89.6171
Madison	Wisconsin	248951	43.0878	-89.4301
Rockford	Illinois	148278	42.2634	-89.0628
Elgin	Illinois	112111	42.0396	-88.3217
Aurora	Illinois	200661	41.7635	-88.2901
Naperville	Illinois	147100	41.7492	-88.162
